date,MARUTI.NS,M&M.NS,TATAMOTORS.NS,BAJAJ-AUTO.NS,HEROMOTOCO.NS,EICHERMOT.NS,BHARATFORG.NS,BALKRISIND.NS,ASHOKLEY.NS,MRF.NS
15-06-2016,4209.600098,677.7750244,452.1000061,2603.550049,3064,1863.719971,371.5499878,336.5249939,103,31663.65039
16-06-2016,4084.100098,671.9749756,454.3500061,2567.100098,3020.75,1882.765015,366.9500122,336.125,99.40000153,31595.19922
17-06-2016,4114.5,672,464.3999939,2581.399902,3030.399902,1877.905029,365.0750122,337.5750122,98.75,31332.25
20-06-2016,4133.200195,675.4249878,482.0499878,2617.899902,3045.649902,1866.060059,377.6000061,336.1000061,99.69999695,32246.94922
21-06-2016,4157.399902,683.4249878,484.8999939,2636.25,3053.050049,1871.324951,378.1499939,341,102.3000031,31844.90039
22-06-2016,4151.350098,679.75,472.7000122,2632.149902,3074.600098,1878.76001,368.9249878,343.2250061,99.90000153,31718.75
23-06-2016,4168.600098,687.375,487.9500122,2652,3063.399902,1865.944946,376.0249939,341.5499878,99.19999695,31676.90039
24-06-2016,4070.050049,694.4500122,449.3999939,2678.800049,3058.75,1866.219971,375.9750061,334.2749939,96.25,31317.25
27-06-2016,4025.100098,695.9000244,448.9500122,2648.449951,3052,1871.064941,371.2000122,329,97.34999847,31870.94922
28-06-2016,4078.699951,704.2999878,440.3999939,2624.399902,3020.399902,1916.63501,370.2749939,330.1499939,98.94999695,32941.89844
29-06-2016,4131.25,708.875,447.25,2645.850098,3156.550049,1911.61499,378.25,330.2250061,99,33519.19922
30-06-2016,4187.200195,714.9749756,459.25,2689.949951,3178.25,1922.23999,380.125,331.5750122,98.34999847,33077.64844
01-07-2016,4165.399902,731.5499878,457.8999939,2671.25,3186.050049,1915.51001,386.75,335.5499878,99.40000153,33656.64844
04-07-2016,4173.799805,732.7000122,469.5,2652.800049,3159.800049,1949.219971,388.6499939,338.8250122,97.80000305,35146.60156
05-07-2016,4173.350098,729.8499756,460.8999939,2612.149902,3111.100098,1943.140015,384.1499939,337.5499878,92.30000305,34746.19922
07-07-2016,4141.100098,728.4000244,455.1499939,2610.550049,3102.699951,1959.310059,370.9500122,337,93.05000305,35231.25
08-07-2016,4161.799805,726.7249756,466.2999878,2604.600098,3167.800049,1945.160034,368.8250122,333.9750061,93.80000305,35391.10156
11-07-2016,4272.049805,735.9749756,484.6000061,2649.050049,3244.550049,1954.60498,373.2000122,331,93.34999847,35292.75
12-07-2016,4370.399902,737.5750122,484.2999878,2651.800049,3248.25,1967.709961,375.625,332.5249939,93.59999847,35238.25
